pH do solo;Estação do ano;Chuv. 3 meses (mm3);Temp. média 3 meses;Nitrogênio;Fósforo;Potássio;Produto
6.2;Verão;148;38;0.8;0.6;0.4;Feijão
5.8;Inverno;32;18;0.6;0.7;0.5;Feijão
6.5;Primavera;104;22;0.7;0.5;0.6;Feijão
6.8;Outono;31;22;0.9;0.4;0.7;Feijão
5.9;Verão;126;30;0.8;0.6;0.5;Milho
6.3;Inverno;54;5;0.6;0.7;0.6;Alface
6.7;Primavera;87;19;0.5;0.6;0.5;Alface
6.1;Outono;68;18;0.8;0.5;0.6;Alface
6.4;Verão;146;37;0.7;0.7;0.5;Milho
6.6;Inverno;10;5;0.6;0.6;0.7;Feijão
6.3;Verão;137;35;0.8;0.6;0.4;Milho
5.9;Inverno;83;4;0.6;0.7;0.5;Alface
6.11;Primavera;80;21;0.7;0.5;0.6;Alface
6.14;Outono;22;20;0.9;0.4;0.7;Feijão
5.10;Verão;157;36;0.8;0.6;0.5;Feijão
6.3;Inverno;28;17;0.6;0.7;0.6;Feijão
6.7;Primavera;93;25;0.5;0.6;0.5;Alface
6.1;Outono;85;21;0.8;0.5;0.6;Feijão
6.4;Verão;135;30;0.7;0.7;0.5;Feijão
6.6;Inverno;44;14;0.6;0.6;0.7;Feijão
6.4;Verão;122;34;0.8;0.6;0.4;Milho
5.10;Inverno;47;11;0.6;0.7;0.5;Feijão
6.17;Primavera;86;20;0.7;0.5;0.6;Feijão
6.20;Outono;49;21;0.9;0.4;0.7;Feijão
5.11;Verão;130;37;0.8;0.6;0.5;Milho
6.3;Verão;159;36;0.8;0.6;0.4;Milho
5.9;Inverno;53;7;0.6;0.7;0.5;Alface
6.11;Primavera;64;21;0.7;0.5;0.6;Alface
6.14;Outono;66;16;0.9;0.4;0.7;Feijão
5.10;Verão;138;39;0.8;0.6;0.5;Feijão
6.3;Inverno;68;2;0.6;0.7;0.6;Feijão
6.7;Primavera;75;26;0.5;0.6;0.5;Alface
6.1;Outono;19;16;0.8;0.5;0.6;Feijão
6.4;Verão;137;25;0.7;0.7;0.5;Milho
6.6;Inverno;51;11;0.6;0.6;0.7;Alface
6.3;Verão;122;28;0.8;0.6;0.4;Milho
5.10;Inverno;22;4;0.6;0.7;0.5;Feijão
6.17;Primavera;110;26;0.7;0.5;0.6;Feijão
6.20;Outono;39;17;0.9;0.4;0.7;Alface
5.11;Verão;112;25;0.8;0.6;0.5;Feijão
6.3;Inverno;50;15;0.6;0.7;0.6;Feijão
6.7;Primavera;73;24;0.5;0.6;0.5;Alface
6.1;Outono;41;17;0.8;0.5;0.6;Alface
6.4;Verão;144;34;0.7;0.7;0.5;Milho
6.6;Inverno;62;16;0.6;0.6;0.7;Feijão
6.4;Verão;113;39;0.8;0.6;0.4;Milho
5.11;Inverno;24;8;0.6;0.7;0.5;Alface
6.23;Primavera;66;21;0.7;0.5;0.6;Alface
6.26;Outono;70;17;0.9;0.4;0.7;Alface
5.12;Verão;126;39;0.8;0.6;0.5;Milho
6.4;Verão;146;36;0.8;0.6;0.4;Milho
5.10;Inverno;37;16;0.6;0.7;0.5;Feijão
6.17;Primavera;113;26;0.7;0.5;0.6;Alface
6.20;Outono;53;16;0.9;0.4;0.7;Feijão
5.11;Verão;133;28;0.8;0.6;0.5;Milho
6.3;Inverno;52;13;0.6;0.7;0.6;Feijão
6.7;Primavera;90;24;0.5;0.6;0.5;Alface
6.1;Outono;57;18;0.8;0.5;0.6;Feijão
6.4;Verão;130;26;0.7;0.7;0.5;Feijão
6.6;Inverno;14;8;0.6;0.6;0.7;Feijão
6.3;Verão;145;32;0.8;0.6;0.4;Milho
5.11;Inverno;42;7;0.6;0.7;0.5;Feijão
6.23;Primavera;109;20;0.7;0.5;0.6;Feijão
6.26;Outono;42;23;0.9;0.4;0.7;Alface
5.12;Verão;138;35;0.8;0.6;0.5;Milho
6.3;Inverno;39;17;0.6;0.7;0.6;Feijão
6.7;Primavera;109;23;0.5;0.6;0.5;Feijão
6.1;Outono;46;15;0.8;0.5;0.6;Feijão
6.4;Verão;130;37;0.7;0.7;0.5;Milho
6.6;Inverno;90;14;0.6;0.6;0.7;Alface
6.4;Verão;118;32;0.8;0.6;0.4;Milho
5.12;Inverno;15;16;0.6;0.7;0.5;Alface
6.29;Primavera;81;26;0.7;0.5;0.6;Feijão
6.32;Outono;23;16;0.9;0.4;0.7;Feijão
5.13;Verão;153;31;0.8;0.6;0.5;Milho
6.5;Verão;152;33;0.8;0.6;0.4;Feijão
5.11;Inverno;19;7;0.6;0.7;0.5;Alface
6.23;Primavera;106;19;0.7;0.5;0.6;Alface
6.26;Outono;18;19;0.9;0.4;0.7;Feijão
5.12;Verão;122;38;0.8;0.6;0.5;Milho
6.3;Inverno;72;5;0.6;0.7;0.6;Feijão
6.7;Primavera;76;25;0.5;0.6;0.5;Alface
6.1;Outono;52;16;0.8;0.5;0.6;Feijão
6.4;Verão;128;38;0.7;0.7;0.5;Milho
6.6;Inverno;37;5;0.6;0.6;0.7;Feijão
6.3;Verão;156;39;0.8;0.6;0.4;Milho
5.12;Inverno;36;11;0.6;0.7;0.5;Alface
6.29;Primavera;92;21;0.7;0.5;0.6;Alface
6.32;Outono;25;19;0.9;0.4;0.7;Alface
5.13;Verão;160;25;0.8;0.6;0.5;Milho
6.3;Inverno;87;5;0.6;0.7;0.6;Feijão
6.7;Primavera;103;22;0.5;0.6;0.5;Alface
6.1;Outono;74;15;0.8;0.5;0.6;Feijão
6.4;Verão;145;33;0.7;0.7;0.5;Feijão
6.6;Inverno;87;7;0.6;0.6;0.7;Alface
6.4;Verão;157;34;0.8;0.6;0.4;Milho
5.13;Inverno;23;9;0.6;0.7;0.5;Alface
6.35;Primavera;62;25;0.7;0.5;0.6;Feijão
6.38;Outono;80;15;0.9;0.4;0.7;Feijão
5.14;Verão;143;26;0.8;0.6;0.5;Milho
6.6;Verão;139;27;0.8;0.6;0.4;Milho
5.12;Inverno;58;3;0.6;0.7;0.5;Feijão
6.29;Primavera;93;20;0.7;0.5;0.6;Alface
6.32;Outono;41;21;0.9;0.4;0.7;Feijão
5.13;Verão;139;25;0.8;0.6;0.5;Feijão
6.3;Inverno;78;11;0.6;0.7;0.6;Feijão
6.7;Primavera;85;26;0.5;0.6;0.5;Alface
6.1;Outono;64;18;0.8;0.5;0.6;Alface
6.4;Verão;129;39;0.7;0.7;0.5;Milho
6.6;Inverno;59;16;0.6;0.6;0.7;Alface
6.3;Verão;130;33;0.8;0.6;0.4;Milho
5.13;Inverno;15;2;0.6;0.7;0.5;Feijão
6.35;Primavera;77;24;0.7;0.5;0.6;Alface
6.38;Outono;42;19;0.9;0.4;0.7;Feijão
5.14;Verão;154;33;0.8;0.6;0.5;Milho
6.3;Inverno;47;10;0.6;0.7;0.6;Feijão
6.7;Primavera;81;25;0.5;0.6;0.5;Alface
6.1;Outono;70;20;0.8;0.5;0.6;Alface
6.4;Verão;137;38;0.7;0.7;0.5;Feijão
6.6;Inverno;62;2;0.6;0.6;0.7;Feijão
6.4;Verão;157;26;0.8;0.6;0.4;Feijão
5.14;Inverno;63;6;0.6;0.7;0.5;Alface
6.41;Primavera;84;20;0.7;0.5;0.6;Feijão
6.44;Outono;65;23;0.9;0.4;0.7;Alface
5.15;Verão;132;32;0.8;0.6;0.5;Milho
6.7;Verão;123;34;0.8;0.6;0.4;Feijão
5.13;Inverno;53;12;0.6;0.7;0.5;Alface
6.35;Primavera;87;25;0.7;0.5;0.6;Alface
6.38;Outono;38;16;0.9;0.4;0.7;Feijão
5.14;Verão;160;39;0.8;0.6;0.5;Feijão
6.3;Inverno;40;6;0.6;0.7;0.6;Alface
6.7;Primavera;62;23;0.5;0.6;0.5;Alface
6.1;Outono;48;18;0.8;0.5;0.6;Feijão
6.4;Verão;150;32;0.7;0.7;0.5;Feijão
6.6;Inverno;63;13;0.6;0.6;0.7;Feijão
6.3;Verão;154;38;0.8;0.6;0.4;Feijão
5.14;Inverno;16;8;0.6;0.7;0.5;Feijão
6.41;Primavera;93;24;0.7;0.5;0.6;Feijão
6.44;Outono;77;20;0.9;0.4;0.7;Alface
5.15;Verão;135;39;0.8;0.6;0.5;Milho
6.3;Inverno;48;11;0.6;0.7;0.6;Feijão
6.7;Primavera;93;22;0.5;0.6;0.5;Alface
6.1;Outono;43;17;0.8;0.5;0.6;Feijão
6.4;Verão;155;37;0.7;0.7;0.5;Milho
6.6;Inverno;40;8;0.6;0.6;0.7;Alface
6.4;Verão;126;32;0.8;0.6;0.4;Feijão
5.15;Inverno;52;14;0.6;0.7;0.5;Alface
6.47;Primavera;110;26;0.7;0.5;0.6;Feijão
6.50;Outono;26;15;0.9;0.4;0.7;Alface
5.16;Verão;131;37;0.8;0.6;0.5;Feijão
6.8;Verão;133;38;0.8;0.6;0.4;Feijão
5.14;Inverno;59;18;0.6;0.7;0.5;Feijão
6.41;Primavera;104;19;0.7;0.5;0.6;Alface
6.44;Outono;41;21;0.9;0.4;0.7;Feijão
5.15;Verão;139;36;0.8;0.6;0.5;Milho
6.3;Inverno;48;12;0.6;0.7;0.6;Alface
6.7;Primavera;84;20;0.5;0.6;0.5;Alface
6.1;Outono;86;21;0.8;0.5;0.6;Alface
6.4;Verão;118;32;0.7;0.7;0.5;Feijão
6.6;Inverno;35;11;0.6;0.6;0.7;Feijão
6.3;Verão;133;25;0.8;0.6;0.4;Milho
5.15;Inverno;22;10;0.6;0.7;0.5;Feijão
6.47;Primavera;109;26;0.7;0.5;0.6;Alface
6.50;Outono;15;21;0.9;0.4;0.7;Feijão
5.16;Verão;135;26;0.8;0.6;0.5;Milho
6.3;Inverno;12;3;0.6;0.7;0.6;Alface
6.7;Primavera;69;24;0.5;0.6;0.5;Feijão
6.1;Outono;15;16;0.8;0.5;0.6;Alface
6.4;Verão;114;25;0.7;0.7;0.5;Milho
6.6;Inverno;29;17;0.6;0.6;0.7;Alface
6.4;Verão;159;38;0.8;0.6;0.4;Milho
5.16;Inverno;27;4;0.6;0.7;0.5;Feijão
6.53;Primavera;68;24;0.7;0.5;0.6;Alface
6.56;Outono;65;15;0.9;0.4;0.7;Alface
5.17;Verão;140;34;0.8;0.6;0.5;Milho
6.9;Verão;139;34;0.8;0.6;0.4;Milho
5.15;Inverno;12;5;0.6;0.7;0.5;Feijão
6.47;Primavera;86;26;0.7;0.5;0.6;Feijão
6.50;Outono;27;19;0.9;0.4;0.7;Alface
5.16;Verão;143;38;0.8;0.6;0.5;Milho
6.3;Inverno;45;14;0.6;0.7;0.6;Feijão
6.7;Primavera;110;19;0.5;0.6;0.5;Alface
6.1;Outono;77;23;0.8;0.5;0.6;Alface
6.4;Verão;124;31;0.7;0.7;0.5;Feijão
6.6;Inverno;27;6;0.6;0.6;0.7;Feijão
6.3;Verão;125;25;0.8;0.6;0.4;Feijão
5.16;Inverno;55;2;0.6;0.7;0.5;Alface
6.53;Primavera;101;26;0.7;0.5;0.6;Feijão
6.56;Outono;63;16;0.9;0.4;0.7;Alface
5.17;Verão;141;38;0.8;0.6;0.5;Feijão
6.3;Inverno;16;6;0.6;0.7;0.6;Feijão
6.7;Primavera;98;21;0.5;0.6;0.5;Alface
6.1;Outono;47;18;0.8;0.5;0.6;Alface
6.4;Verão;153;36;0.7;0.7;0.5;Milho
6.6;Inverno;47;17;0.6;0.6;0.7;Feijão
6.4;Verão;132;33;0.8;0.6;0.4;Feijão
5.17;Inverno;53;7;0.6;0.7;0.5;Feijão
6.59;Primavera;110;25;0.7;0.5;0.6;Alface
6.62;Outono;72;16;0.9;0.4;0.7;Feijão
5.18;Verão;126;29;0.8;0.6;0.5;Feijão
